cityName,cityPrefix,stateName,stateAbbreviation,county1Name,county2Name,county3Name,county4Name,county5Name
Hemet,City of,California,CA,Riverside County,,,,
Hercules,City of,California,CA,Contra Costa County,,,,
Hermosa Beach,City of,California,CA,Los Angeles County,,,,
Hesperia,City of,California,CA,San Bernardino County,,,,
Hidden Hills,City of,California,CA,Los Angeles County,,,,
Highland,City of,California,CA,San Bernardino County,,,,
Hillsborough,Town of,California,CA,San Mateo County,,,,
Hollister,City of,California,CA,San Benito County,,,,
Holtville,City of,California,CA,Imperial County,,,,
Hughson,City of,California,CA,Stanislaus County,,,,
Huntington Beach,City of,California,CA,Orange County,,,,
Huntington Park,City of,California,CA,Los Angeles County,,,,
Huron,City of,California,CA,Fresno County,,,,
Imperial Beach,City of,California,CA,San Diego County,,,,
Imperial,City of,California,CA,Imperial County,,,,
Indian Wells,City of,California,CA,Riverside County,,,,
Indio,City of,California,CA,Riverside County,,,,
Industry,City of,California,CA,Los Angeles County,,,,
Inglewood,City of,California,CA,Los Angeles County,,,,
Ione,City of,California,CA,Amador County,,,,
Irvine,City of,California,CA,Orange County,,,,
Irwindale,City of,California,CA,Los Angeles County,,,,
Isleton,City of,California,CA,Sacramento County,,,,
Jackson,City of,California,CA,Amador County,,,,
Jurupa Valley,City of,California,CA,Riverside County,,,,
Kerman,City of,California,CA,Fresno County,,,,
King City,City of,California,CA,Monterey County,,,,
Kingsburg,City of,California,CA,Fresno County,,,,
La Canada Flintridge,City of,California,CA,Los Angeles County,,,,
La Habra,City of,California,CA,Orange County,,,,
La Habra Heights,City of,California,CA,Los Angeles County,,,,
La Mesa,City of,California,CA,San Diego County,,,,
La Mirada,City of,California,CA,Los Angeles County,,,,
La Palma,City of,California,CA,Orange County,,,,
La Puente,City of,California,CA,Los Angeles County,,,,
La Quinta,City of,California,CA,Riverside County,,,,
La Verne,City of,California,CA,Los Angeles County,,,,
Lafayette,City of,California,CA,Contra Costa County,,,,
Laguna Beach,City of,California,CA,Orange County,,,,
Laguna Hills,City of,California,CA,Orange County,,,,
Laguna Niguel,City of,California,CA,Orange County,,,,
Laguna Woods,City of,California,CA,Orange County,,,,
Lake Elsinore,City of,California,CA,Riverside County,,,,
Lake Forest,City of,California,CA,Orange County,,,,
Lakeport,City of,California,CA,Lake County,,,,
Lakewood,City of,California,CA,Los Angeles County,,,,
Lancaster,City of,California,CA,Los Angeles County,,,,
Larkspur,City of,California,CA,Marin County,,,,
Lathrop,City of,California,CA,San Joaquin County,,,,
Lawndale,City of,California,CA,Los Angeles County,,,,
Lemon Grove,City of,California,CA,San Diego County,,,,
Lemoore,City of,California,CA,Kings County,,,,
Lincoln,City of,California,CA,Placer County,,,,
Lindsay,City of,California,CA,Tulare County,,,,
Live Oak,City of,California,CA,Sutter County,,,,
Livermore,City of,California,CA,Alameda County,,,,
Livingston,City of,California,CA,Merced County,,,,
Lodi,City of,California,CA,San Joaquin County,,,,
Loma Linda,City of,California,CA,San Bernardino County,,,,
Lomita,City of,California,CA,Los Angeles County,,,,
Lompoc,City of,California,CA,Santa Barbara County,,,,
Long Beach,City of,California,CA,Los Angeles County,,,,
Loomis,Town of,California,CA,Placer County,,,,
Los Alamitos,City of,California,CA,Orange County,,,,
Los Altos,City of,California,CA,Santa Clara County,,,,
Los Altos Hills,Town of,California,CA,Santa Clara County,,,,
Los Angeles,City of,California,CA,Los Angeles County,,,,
Los Banos,City of,California,CA,Merced County,,,,
Los Gatos,Town of,California,CA,Santa Clara County,,,,
Loyalton,City of,California,CA,Sierra County,,,,
Lynwood,City of,California,CA,Los Angeles County,,,,
Madera,City of,California,CA,Madera County,,,,
Malibu,City of,California,CA,Los Angeles County,,,,
Mammoth Lakes,Town of,California,CA,Mono County,,,,
Manhattan Beach,City of,California,CA,Los Angeles County,,,,
Manteca,City of,California,CA,San Joaquin County,,,,
Maricopa,City of,California,CA,Kern County,,,,
Marina,City of,California,CA,Monterey County,,,,
Martinez,City of,California,CA,Contra Costa County,,,,
Marysville,City of,California,CA,Yuba County,,,,
Maywood,City of,California,CA,Los Angeles County,,,,
McFarland,City of,California,CA,Kern County,,,,
Mendota,City of,California,CA,Fresno County,,,,
Menlo Park,City of,California,CA,San Mateo County,,,,
Merced,City of,California,CA,Merced County,,,,
Mill Valley,City of,California,CA,Marin County,,,,
Millbrae,City of,California,CA,San Mateo County,,,,
Milpitas,City of,California,CA,Santa Clara County,,,,
Mission Viejo,City of,California,CA,Orange County,,,,
Modesto,City of,California,CA,Stanislaus County,,,,
Monrovia,City of,California,CA,Los Angeles County,,,,
Montague,City of,California,CA,Siskiyou County,,,,
Montclair,City of,California,CA,San Bernardino County,,,,
Monte Sereno,City of,California,CA,Santa Clara County,,,,
Montebello,City of,California,CA,Los Angeles County,,,,
Monterey,City of,California,CA,Monterey County,,,,
Monterey Park,City of,California,CA,Los Angeles County,,,,
Moorpark,City of,California,CA,Ventura County,,,,
Moraga,Town of,California,CA,Contra Costa County,,,,
Moreno Valley,City of,California,CA,Riverside County,,,,
Morgan Hill,City of,California,CA,Santa Clara County,,,,
Morro Bay,City of,California,CA,San Luis Obispo County,,,,
Mount Shasta,City of,California,CA,Siskiyou County,,,,
Mountain View,City of,California,CA,Santa Clara County,,,,
Murrieta,City of,California,CA,Riverside County,,,,
Napa,City of,California,CA,Napa County,,,,
National City,City of,California,CA,San Diego County,,,,
Needles,City of,California,CA,San Bernardino County,,,,
Nevada City,City of,California,CA,Nevada County,,,,
Newark,City of,California,CA,Alameda County,,,,
Newman,City of,California,CA,Stanislaus County,,,,
Newport Beach,City of,California,CA,Orange County,,,,
Norco,City of,California,CA,Riverside County,,,,
Norwalk,City of,California,CA,Los Angeles County,,,,
Novato,City of,California,CA,Marin County,,,,
Oakdale,City of,California,CA,Stanislaus County,,,,
Oakland,City of,California,CA,Alameda County,,,,
Oakley,City of,California,CA,Contra Costa County,,,,
Oceanside,City of,California,CA,San Diego County,,,,
Ojai,City of,California,CA,Ventura County,,,,
Ontario,City of,California,CA,San Bernardino County,,,,
Orange,City of,California,CA,Orange County,,,,
Orange Cove,City of,California,CA,Fresno County,,,,
Orinda,City of,California,CA,Contra Costa County,,,,
Orland,City of,California,CA,Glenn County,,,,
Oroville,City of,California,CA,Butte County,,,,
Oxnard,City of,California,CA,Ventura County,,,,
Pacific Grove,City of,California,CA,Monterey County,,,,
Pacifica,City of,California,CA,San Mateo County,,,,
Palm Desert,City of,California,CA,Riverside County,,,,
Palm Springs,City of,California,CA,Riverside County,,,,
Palmdale,City of,California,CA,Los Angeles County,,,,
Palo Alto,City of,California,CA,Santa Clara County,,,,
Palos Verdes Estates,City of,California,CA,Los Angeles County,,,,
Paradise,Town of,California,CA,Butte County,,,,
Paramount,City of,California,CA,Los Angeles County,,,,
Parlier,City of,California,CA,Fresno County,,,,
Pasadena,City of,California,CA,Los Angeles County,,,,
Patterson,City of,California,CA,Stanislaus County,,,,
Perris,City of,California,CA,Riverside County,,,,
Petaluma,City of,California,CA,Sonoma County,,,,
Pico Rivera,City of,California,CA,Los Angeles County,,,,
Piedmont,City of,California,CA,Alameda County,,,,
Pinole,City of,California,CA,Contra Costa County,,,,
Pismo Beach,City of,California,CA,San Luis Obispo County,,,,
Pittsburg,City of,California,CA,Contra Costa County,,,,
Placentia,City of,California,CA,Orange County,,,,
Placerville,City of,California,CA,El Dorado County,,,,
Pleasant Hill,City of,California,CA,Contra Costa County,,,,
Pleasanton,City of,California,CA,Alameda County,,,,
Plymouth,City of,California,CA,Amador County,,,,
Point Arena,City of,California,CA,Mendocino County,,,,
Pomona,City of,California,CA,Los Angeles County,,,,
Port Hueneme,City of,California,CA,Ventura County,,,,
Porterville,City of,California,CA,Tulare County,,,,
Portola,City of,California,CA,Plumas County,,,,
Portola Valley,Town of,California,CA,San Mateo County,,,,
Poway,City of,California,CA,San Diego County,,,,
Rancho Cucamonga,City of,California,CA,San Bernardino County,,,,
Rancho Mirage,City of,California,CA,Riverside County,,,,
Rancho Palos Verdes,City of,California,CA,Los Angeles County,,,,
Rancho Santa Margarita,City of,California,CA,Orange County,,,,
Red Bluff,City of,California,CA,Tehama County,,,,
Redding,City of,California,CA,Shasta County,,,,
Redlands,City of,California,CA,San Bernardino County,,,,
Redondo Beach,City of,California,CA,Los Angeles County,,,,
Redwood City,City of,California,CA,San Mateo County,,,,
Reedley,City of,California,CA,Fresno County,,,,
Rialto,City of,California,CA,San Bernardino County,,,,
Richmond,City of,California,CA,Contra Costa County,,,,
Ridgecrest,City of,California,CA,Kern County,,,,
