"id","city_id","name","slug"
"262","28083","Business Process/City Clerk","business-process-city-clerk"
"263","28083","Information Systems","information-systems-4"
"264","28083","Administration","administration-4"
"265","28083","Real Property Services","real-property-services"
"266","28083","Human Resources/Risk Management","human-resources-risk-management"
"267","28085","Finance","finance-21"
"268","28085","Community Services","community-services-14"
"269","28085","Development Services","development-services-7"
"270","28085","City Manager","city-manager-17"
"271","28085","City Clerk","city-clerk-16"
"272","28085","Human Resources & Risk Management","human-resources-risk-management-1"
"273","28085","Fire & Life Safety","fire-life-safety"
"274","28085","Economic Development","economic-development-1"
"275","28085","Information Technology","information-technology-4"
"276","28085","Fleet Operations & Maintenance","fleet-operations-maintenance"
"277","28086","Engineering/Public Works","engineering-public-works-1"
"278","28086","City Clerk","city-clerk-17"
"279","28086","Finance","finance-22"
"280","28086","City Manager","city-manager-18"
"281","28086","Community Development","community-development-13"
"282","28086","Code Compliance","code-compliance"
"283","28086","Fire","fire-20"
"284","28086","Human Resources","human-resources-12"
"285","28086","Information Systems","information-systems-5"
"286","28086","Junior Lifeguard","junior-lifeguard"
"287","28086","Public Works","public-works-23"
"288","28086","Marine Safety","marine-safety"
"289","28086","Community Services","community-services-15"
"290","28086","Recreation","recreation-3"
"291","28087","Finance","finance-23"
"292","28087","Housing","housing-1"
"293","28087","Recreation & Community Services","recreation-community-services"
"294","28087","Community Development ","community-development-14"
"295","28087","Fire","fire-21"
"296","28087","City Attorney","city-attorney-10"
"297","28087","City Clerk","city-clerk-18"
"298","28087","City Manager","city-manager-19"
"299","28087","Code Enforcement","code-enforcement-1"
"300","28087","Economic Development","economic-development-2"
"301","28087","Human Resources","human-resources-13"
"302","28087","Public Works","public-works-24"
"303","28087","Information Technology","information-technology-5"
"304","28087","City Council","city-council-2"
"305","29891","Housing","housing-2"
"306","29891","Recreation & Community Services","recreation-community-services-1"
"307","29891","Code Enforcement","code-enforcement-2"
"308","29891","Economic Development","economic-development-3"
"309","29891","Information Technology","information-technology-6"
"310","29891","City Council","city-council-3"
"311","28247","Administrative Services","administrative-services-6"
"312","28247","Community Development    ","community-development-15"
"313","28247","Community Services       ","community-services-16"
"314","28247","Fire Services            ","fire-services-1"
"315","28247","Management Services","management-services"
"316","28247","Public Works             ","public-works-25"
"317","28247","Police","police-15"
"318","27926","Finance","finance-24"
"319","27926","City Clerk","city-clerk-19"
"320","27926","Community Development","community-development-16"
"321","27926","Police","police-16"
"322","27926","Public Works","public-works-26"
"323","27926","Community Services","community-services-17"
"324","27926","City Manager","city-manager-20"
"325","27926","Human Resources","human-resources-14"
"326","28222","Finance","finance-25"
"327","28222","Police","police-17"
"328","28222","City Manager's Office","city-managers-office"
"329","28222","Development Services","development-services-8"
"330","28222","Public Services","public-services-1"
"331","28222","Parks & Community Services","parks-community-services"
"332","28222","Fire","fire-22"
"333","28222","Information Technology","information-technology-7"
"334","28222","City Council","city-council-4"
"335","27928","Finance & Administrative Services","finance-administrative-services"
"336","27928","Community Development","community-development-17"
"337","27928","Engineering","engineering-2"
"338","27928","City Manager","city-manager-21"
"339","27928","City Clerk","city-clerk-20"
"340","27928","Police","police-18"
"341","27928","City Council","city-council-5"
"342","28223","Administrative Services","administrative-services-7"
"343","28223","Recreation","recreation-4"
"344","28223","City Clerk","city-clerk-21"
"345","28223","Community Development","community-development-18"
"346","28223","Public Works ","public-works-27"
"347","28223","City Manager","city-manager-22"
"348","28223","General Services","general-services"
"349","28223","Economic Development","economic-development-4"
"350","28243","Finance","finance-26"
"351","28243","Planning & Building","planning-building"
"352","28243","Public Works","public-works-28"
"353","28243","Fire","fire-23"
"354","28243","Administration","administration-5"
"355","28243","Police","police-19"
"356","28243","City Clerk","city-clerk-22"
"357","28243","Recreation & Community Services","recreation-community-services-2"
"358","28243","Human Resources","human-resources-15"
"359","28243","Information Systems","information-systems-6"
"360","28248","Administrative Services","administrative-services-8"
"361","28248","City Council","city-council-6"
"362","28248","Fire","fire-24"
"363","28248","Police","police-20"
"364","28248","Community Development","community-development-19"
"365","28248","Library","library-4"
"366","28248","Parks & Recreation","parks-recreation-1"
"367","28248","Public Works","public-works-29"
"368","28248","City Manager","city-manager-23"
"369","28248","Human Resources","human-resources-16"
"370","28249","Finance","finance-27"
"371","28249","Community Services","community-services-18"
"372","28249","Human Resources","human-resources-17"
"373","28249","Information Technology","information-technology-8"
"374","28249","City Manager","city-manager-24"
"375","28249","Fire","fire-25"
"376","28249","Public Works","public-works-30"
"377","28249","Community & Economic Development","community-economic-development-1"
"378","28249","Police","police-21"
"379","27929","Finance","finance-28"
"380","27929","Community Services","community-services-19"
"381","27929","Community Development","community-development-20"
"382","27929","Police","police-22"
"383","27929","Engineering","engineering-3"
"384","27929","Public Works","public-works-31"
"385","27929","City Manager","city-manager-25"
"386","27929","City Clerk","city-clerk-23"
"387","27929","Human Resources","human-resources-18"
"388","28227","Administrative Services","administrative-services-9"
"389","28227","Police","police-23"
"390","28227","Community Development","community-development-21"
"391","28227","Community Services","community-services-20"
"392","28227","Fire","fire-26"
"393","28227","Public Works","public-works-32"
"394","28227","Water Quality","water-quality"
"395","28227","Cultural Arts","cultural-arts"
"396","28227","City Manager","city-manager-26"
"397","28227","Marine Safety","marine-safety-1"
"398","28227","City Clerk","city-clerk-24"
"399","28224","Finance","finance-29"
"400","28224","City Clerk","city-clerk-25"
"401","28224","Community Development","community-development-22"
"402","28224","Community Services","community-services-21"
"403","28224","Public Works","public-works-33"
"404","28224","City Manager","city-manager-27"
"405","28224","Management Services","management-services-1"
"406","28224","Police Services","police-services-1"
"407","27944","Administration","administration-6"
"408","27944","Recreation and Community Services","recreation-and-community-services"
"409","27944","Development Services","development-services-9"
"410","27944","Police","police-24"
"411","28240","Administrative Services","administrative-services-10"
"412","28240","Community Development","community-development-23"
"413","28240","Information Technology","information-technology-9"
