"id","city_id","name","slug"
"759","29862","Public Works","public-works-66"
"760","29865","City Manager","city-manager-53"
"761","29865","Communications/City Clerk","communications-city-clerk"
"762","29865","Community Development ","community-development-45"
"763","29865","Financial Service/City Treasurer","financial-service-city-treasurer"
"764","29865","Fire","fire-42"
"765","29865","Human Resources","human-resources-37"
"766","29865","Parks and Recreation","parks-and-recreation-6"
"767","29865","Police","police-51"
"768","29865","Public Works","public-works-67"
"769","28488","Administrative Services","administrative-services-16"
"770","28488","City Manager","city-manager-54"
"771","28488","Communications/City Clerk","communications-city-clerk-1"
"772","28488","Community Development","community-development-46"
"773","28488","Public Works","public-works-68"
"774","29867","Building and Planning","building-and-planning"
"775","29867","City Manager","city-manager-55"
"776","29867","Finance","finance-54"
"777","29867","Police","police-52"
"778","29867","Public Works","public-works-69"
"779","28492","Police","police-53"
"780","28492","Administrative Services","administrative-services-17"
"781","28492","City Clerk","city-clerk-46"
"782","28492","City Manager","city-manager-56"
"783","28492","Community Development","community-development-47"
"784","28492","Community Services","community-services-31"
"785","28492","Finance","finance-55"
"786","28492","Human Resources","human-resources-38"
"787","28492","Information Technology","information-technology-20"
"788","28492","Library","library-14"
"789","28492","Public Works","public-works-70"
"790","28495","Administrative Services","administrative-services-18"
"791","28495","City Clerk","city-clerk-47"
"792","28495","City Manager","city-manager-57"
"793","28495","Community Development","community-development-48"
"794","28495","Finance","finance-56"
"795","28495","Police","police-54"
"796","28495","Public Works","public-works-71"
"797","28495","Recreation","recreation-7"
"798","28499","Police","police-55"
"799","28499","Administrative Services","administrative-services-19"
"800","28499","City Manager's Office","city-managers-office-3"
"801","28499","Fire","fire-43"
"802","28499","Parks, Beaches & Recreation","parks-beaches-recreation"
"803","28499","Planning","planning-4"
"804","28499","Public Works","public-works-72"
"805","28494","Administration","administration-12"
"806","28494","Building and Planning","building-and-planning-1"
"807","28494","Finance","finance-57"
"808","28494","Public Works","public-works-73"
"809","28501","Fire","fire-44"
"810","28501","Police","police-56"
"811","28501","Administrative Services","administrative-services-20"
"812","28501","City Attorney","city-attorney-25"
"813","28501","City Clerk","city-clerk-48"
"814","28501","City Manager","city-manager-58"
"815","28501","Community Development and Transportation","community-development-and-transportation"
"816","28501","Library","library-15"
"817","28501","Parks, Recreation and Community Services","parks-recreation-and-community-services"
"818","28501","Public Works Services","public-works-services"
"819","28502","Fire","fire-45"
"820","28502","Cable ","cable"
"821","28502","City Attorney","city-attorney-26"
"822","28502","City Clerk","city-clerk-49"
"823","28502","City Manager","city-manager-59"
"824","28502","Community Development","community-development-49"
"825","28502","Community Services","community-services-32"
"826","28502","Finance","finance-58"
"827","28502","Human Resources","human-resources-39"
"828","28502","Information Technology","information-technology-21"
"829","28502","Police","police-57"
"830","28502","Public Works","public-works-74"
"831","28503","Administrative Services","administrative-services-21"
"832","28503","City Clerk","city-clerk-50"
"833","28503","City Manager","city-manager-60"
"834","28503","Community Development","community-development-50"
"835","28503","Fire","fire-46"
"836","28503","Parks and Recreation","parks-and-recreation-7"
"837","28503","Public Works","public-works-75"
"838","28512","City Attorney","city-attorney-27"
"839","28512","City Clerk","city-clerk-51"
"840","28512","City Manager","city-manager-61"
"841","28512","Community Development","community-development-51"
"842","28512","Finance","finance-59"
"843","28512","Human Resources","human-resources-40"
"844","28512","Information Technology","information-technology-22"
"845","28512","Library","library-16"
"846","28512","Parks and Recreation","parks-and-recreation-8"
"847","28512","Police","police-58"
"848","28512","Public Works","public-works-76"
"849","28506","Fire","fire-47"
"850","28506","Police","police-59"
"851","28506","City Clerk","city-clerk-52"
"852","28506","City Manager","city-manager-62"
"853","28506","Economic and Community Development","economic-and-community-development-2"
"854","28506","Finance","finance-60"
"855","28506","Human Resources","human-resources-41"
"856","28506","Information Technology","information-technology-23"
"857","28506","Library","library-17"
"858","28506","Parks and Recreation","parks-and-recreation-9"
"859","28506","Public Works","public-works-77"
"860","29886","Administration and Finance","administration-and-finance"
"861","29886","Planning","planning-5"
"862","29886","Public Works","public-works-78"
"863","29886","Town Manager","town-manager"
"864","29894","City Attorney","city-attorney-28"
"865","29894","City Clerk","city-clerk-53"
"866","29894","City Manager","city-manager-63"
"867","29894","Economic and Community Development","economic-and-community-development-3"
"868","29894","Finance and Administrative Services","finance-and-administrative-services-1"
"869","29894","Fire","fire-48"
"870","29894","Human Resources","human-resources-42"
"871","29894","Library and Recreation Services","library-and-recreation-services-1"
"872","29894","Police","police-60"
"873","29894","Public Works","public-works-79"
"874","29894","Water and Wastewater Resources","water-and-wastewater-resources-1"
"875","29854","General Administration","general-administration"
"876","29854","Planning & Building","planning-building-4"
"877","29854","Police","police-61"
"878","29854","Public Works","public-works-80"
"879","28584","Administration & Finance","administration-finance"
"880","28584","Planning and Building","planning-and-building"
"881","28584","Public Works - Engineering","public-works-engineering"
"882","28584","Public Works - Maintenance and Field Operations","public-works-maintenance-and-field-operations"
"883","28584","Recreation","recreation-8"
"884","28587","Building & Planning Services","building-planning-services"
"885","28587","Finance","finance-61"
"886","28587","Police","police-62"
"887","28587","Public Works","public-works-81"
"888","28587","Recreation & Community Services","recreation-community-services-4"
"889","28587","Town Manager","town-manager-1"
"890","28592","Daycare","daycare"
"891","28592","Fire","fire-49"
"892","28592","General Administration","general-administration-1"
"893","28592","Library","library-18"
"894","28592","Planning & Building","planning-building-5"
"895","28592","Public Works","public-works-82"
"896","28592","Recreation","recreation-9"
"897","28594","Fire","fire-50"
"898","28594","Government & Administrative Services","government-administrative-services"
"899","28594","Library","library-19"
"900","28594","Planning and Building","planning-and-building-1"
"901","28594","Police","police-63"
"902","28594","Public Works","public-works-83"
"903","28594","Recreation","recreation-10"
"904","28595","Police","police-64"
"905","28595","Administrative Services","administrative-services-22"
"906","28595","Central Administration","central-administration"
"907","28595","Community Development","community-development-52"
"908","28595","Parks, Recreation & Community Services","parks-recreation-community-services-1"
"909","28595","Public Works","public-works-84"
"910","28601","General Government","general-government-3"
"911","28601","Planning and Building","planning-and-building-2"
"912","28601","Public Safety - Police","public-safety-police"
"913","28601","Public Works","public-works-85"
"914","28601","Recreation","recreation-11"
"915","28602","Administration & Finance","administration-finance-1"
"916","28602","Library","library-20"
"917","28602","Planning & Building","planning-building-6"
"918","28602","Public Works","public-works-86"
"919","28602","Recreation","recreation-12"
"920","28577","Fire","fire-51"
"921","28577","Police","police-65"
"922","28577","City Attorney","city-attorney-29"
"923","28577","City Clerk","city-clerk-54"
"924","28577","City Manager/Council","city-manager-council"
"925","28577","Community Development","community-development-53"
"926","28577","Community Services","community-services-33"
"927","28577","Digital Service & Open Government","digital-service-open-government"
"928","28577","Economic Development","economic-development-9"
"929","28577","Finance","finance-62"
"930","28577","Human Resources","human-resources-43"
"931","28577","Library","library-21"
"932","28577","Parking Services","parking-services"
"933","28577","Public Works","public-works-87"
"934","28605","Police","police-66"
"935","28605","Administration","administration-13"
"936","28605","Community Development","community-development-54"
"937","28605","Information Technology","information-technology-24"
"938","28605","Library","library-22"
"939","28605","Parks & Recreation","parks-recreation-3"
"940","28605","Public Works","public-works-88"
"941","29883","Community Development","community-development-55"
"942","29883","Police","police-67"
"943","29883","Public Works","public-works-89"
"944","29883","Town Administration","town-administration"
"945","29895","Fire","fire-52"
"946","29895","Police","police-68"
"947","29895","City Attorney","city-attorney-30"
"948","29895","City Clerk","city-clerk-55"
"949","29895","City Manager/Council","city-manager-council-1"
"950","29895","Community Development","community-development-56"
"951","29895","Community Services","community-services-34"
"952","29895","Digital Service & Open Government","digital-service-open-government-1"
"953","29895","Economic Development","economic-development-10"
"954","29895","Finance","finance-63"
"955","29895","Human Resources","human-resources-44"
"956","29895","Library","library-23"
"957","29895","Parking Services","parking-services-1"
"958","29895","Public Works","public-works-90"
"959","29893","General","general"
"960","29893","General-test","general-test"
"961","28565","Multi-Departmental","multi-departmental"
"962","28616","City Manager","city-manager-64"
"963","28616","Community Development","community-development-57"
"964","28616","Finance","finance-64"
"965","28616","Public Safety","public-safety-6"
"966","28616","Public Works","public-works-91"
"967","28616","Recreation and Community Services","recreation-and-community-services-2"
"968","28620","Administrative Services","administrative-services-23"
"969","28620","City Attorney","city-attorney-31"
"970","28620","City Clerk","city-clerk-56"
"971","28620","City Manager","city-manager-65"
"972","28620","Community Development","community-development-58"
"973","28620","Innovation and Technology","innovation-and-technology"
"974","28620","Public Works","public-works-92"
"975","28620","Recreation and Community Service","recreation-and-community-service"
"976","28624","Administration","administration-14"
"977","28624","Community Development","community-development-59"
"978","28624","Finance","finance-65"
"979","28624","Fire","fire-53"
"980","28624","Human Resources and Risk Management","human-resources-and-risk-management"
"981","28624","Information Technology","information-technology-25"
"982","28624","Police","police-69"
"983","28624","Public Works","public-works-93"
"984","28624","Recreation","recreation-13"
"985","28491","Administrative Services","administrative-services-24"
"986","28491","City Manager","city-manager-66"
"987","28491","Community Development","community-development-60"
"988","28491","Engineering","engineering-5"
"989","28491","Maintenance Services","maintenance-services-1"
"990","28491","Police","police-70"
"991","28491","Recreation and Community Services","recreation-and-community-services-3"
"992","29873","Clerk Administration","clerk-administration"
"993","29873","Community Development","community-development-61"
"994","29873","Finance Services","finance-services"
"995","29873","Human Resources","human-resources-45"
"996","29873","Information Technology","information-technology-26"
"997","29873","Library","library-24"
"998","29873","Parks and Public Works","parks-and-public-works"
"999","29873","Police","police-71"
"1000","29873","Town Attorney","town-attorney"
"1001","29873","Town Manager","town-manager-2"
"1002","28628","Building and Housing","building-and-housing"
"1003","28628","City Attorney","city-attorney-32"
"1004","28628","City Clerk","city-clerk-57"
"1005","28628","City Manager","city-manager-67"
"1006","28628","Economic Development","economic-development-11"
"1007","28628","Engineering","engineering-6"
"1008","28628","Finance","finance-66"
"1009","28628","Fire","fire-54"
"1010","28628","Human Resources","human-resources-46"
"1011","28628","Information Technology","information-technology-27"
"1012","28628","Planning","planning-6"
"1013","28628","Police","police-72"
"1014","28628","Public Works","public-works-94"
"1015","28628","Recreation and Community Services","recreation-and-community-services-4"
"1016","29875","Administrative Services","administrative-services-25"
"1017","29875","Building","building"
"1018","29875","Engineering","engineering-7"
"1019","29875","Finance","finance-67"
"1020","29875","Planning","planning-7"
"1021","28629","Administrative Services","administrative-services-26"
"1022","28629","City Attorney","city-attorney-33"
"1023","28629","City Manager","city-manager-68"
"1024","28629","Community Services","community-services-35"
"1025","28629","Development Services","development-services-14"
"1026","28629","Engineering and Utilities","engineering-and-utilities"
"1027","28629","Police","police-73"
"1028","28496","City Attorney","city-attorney-34"
"1029","28496","City Clerk","city-clerk-58"
"1030","28496","City Manager","city-manager-69"
"1031","28496","Community Development","community-development-62"
"1032","28496","Community Services","community-services-36"
"1033","28496","Finance and Administrative Services","finance-and-administrative-services-2"
"1034","28496","Fire","fire-55"
"1035","28496","Information Technology","information-technology-28"
"1036","28496","Library Services","library-services-5"
"1037","28496","Police","police-74"
"1038","28496","Public Works","public-works-95"
"1039","28637","City Attorney","city-attorney-35"
"1040","28637","City Auditor","city-auditor-3"
"1041","28637","City Clerk","city-clerk-59"
"1042","28637","City Manager","city-manager-70"
"1043","28637","Community Development","community-development-63"
"1044","28637","Electric Utility","electric-utility-1"
"1045","28637","Finance","finance-68"
"1046","28637","Fire","fire-56"
"1047","28637","Human Resources","human-resources-47"
"1048","28637","Information Technology","information-technology-29"
"1049","28637","Library","library-25"
"1050","28637","Mayor and City Council","mayor-and-city-council"
"1051","28637","Non-Department","non-department"
"1052","28637","Parks and Recreation","parks-and-recreation-10"
"1053","28637","Police","police-75"
"1054","28637","Public Works","public-works-96"
"1055","28637","Water and Sewer Utilities","water-and-sewer-utilities"
"1056","28507","City Attorney","city-attorney-36"
"1057","28507","City Manager","city-manager-71"
"1058","28507","Community Development","community-development-64"
"1059","28507","Environmental Services","environmental-services-1"
"1060","28507","Finance","finance-69"
"1061","28507","Human Resources","human-resources-48"
"1062","28507","Information Technology","information-technology-30"
"1063","28507","Library and Community Services","library-and-community-services"
"1064","28507","NOVA Workforce Services","nova-workforce-services"
"1065","28507","Public Safety","public-safety-7"
"1066","28507","Public Works","public-works-97"
"1067","28510","Administrative Services","administrative-services-27"
"1068","28510","City Attorney","city-attorney-37"
"1069","28510","City Auditor","city-auditor-4"
"1070","28510","City Clerk","city-clerk-60"
"1071","28510","City Manager","city-manager-72"
"1072","28510","Community Services","community-services-37"
"1073","28510","Development Services","development-services-15"
"1074","28510","Fire","fire-57"
"1075","28510","Human Resources","human-resources-49"
"1076","28510","Information Technology","information-technology-31"
"1077","28510","Library","library-26"
"1078","28510","Office of Emergency Services","office-of-emergency-services"
"1079","28510","Planning and Community Environment","planning-and-community-environment"
"1080","28510","Police","police-76"
"1081","28510","Public Works","public-works-98"
"1082","28510","Utilities","utilities-4"
"1083","28640","Administrative Services","administrative-services-28"
"1084","28640","City Manager","city-manager-73"
"1085","28640","Community Development","community-development-65"
"1086","28640","Community Services","community-services-38"
"1087","28640","Public Works","public-works-99"
"1088","29872","City Clerk","city-clerk-61"
"1089","29872","City Manager","city-manager-74"
"1090","29872","Parks & Recreation","parks-recreation-4"
"1091","29872","Planning & Building","planning-building-7"
"1092","29872","Public Works","public-works-100"
"1093","28644","Airport","airport-1"
"1094","28644","City Attorney","city-attorney-38"
"1095","28644","City Auditor","city-auditor-5"
"1096","28644","City Clerk","city-clerk-62"
"1097","28644","City Manager's Office","city-managers-office-4"
"1098","28644","Community Energy","community-energy"
"1099","28644","Economic Development","economic-development-12"
"1100","28644","Environmental Services","environmental-services-2"
"1101","28644","Finance","finance-70"
"1102","28644","Fire","fire-58"
"1103","28644","Housing","housing-3"
"1104","28644","Human Resources","human-resources-50"
"1105","28644","Information Technology","information-technology-32"
"1106","28644","Library","library-27"
"1107","28644","Mayor and City Council","mayor-and-city-council-1"
"1108","28644","Parks, Recreation, Neighborhood Services","parks-recreation-neighborhood-services"
"1109","28644","Planning, Building and Code Enforcement","planning-building-and-code-enforcement"
"1110","28644","Police","police-77"
"1111","28644","Police Auditor","police-auditor"
"1112","28644","Public Works","public-works-101"
"1113","28644","Retirement Services","retirement-services"
"1114","28644","Transportation","transportation-2"
"1115","28644","Multi-Departmental","multi-departmental-1"
"1116","29896","General Administration","general-administration-2"
"1117","29896","Planning & Building","planning-building-8"
"1118","29896","Police","police-78"
"1119","29896","Public Works","public-works-102"
"1120","28617","City Manager","city-manager-3"
"1121","28617","Finance","finance-7"
"1122","28617","Police","police-5"
"1123","28617","Public Works","public-works-8"
"1124","28617","Recreation","recreation-14"
"1125","28617","Community Development","community-development-5"
"1126","28639","Administrative Services","administrative-services-29"
"1127","28639","Parks and Recreation","parks-and-recreation-11"
"1128","28639","Police","police-6"
"1129","28639","Public Works","public-works-9"
"1130","28639","City Manager","city-manager-4"
"1131","28639","Planning and Building ","planning-and-building-3"
"1132","28643","Airport","airport-2"
"1133","28643","City Clerk","city-clerk-5"
"1134","28643","Community Development","community-development-66"
"1135","28643","Fire","fire-5"
"1136","28643","Innovation and Technology","innovation-and-technology-1"
"1137","28643","Library","library-1"
"1138","28643","Parks and Community Services","parks-and-community-services-1"
"1139","28643","Police","police-8"
"1140","28643","Public Works and Utilities","public-works-and-utilities-1"
"1141","28643","City Manager","city-manager-6"
"1142","28643","Finance","finance-8"
"1143","28643","Human Resources","human-resources-2"
"1144","28638","City Manager","city-manager-75"
"1145","28638","Economic Development","economic-development-13"
"1146","28638","Finance","finance-71"
"1147","28638","Fire","fire-6"
"1148","28638","Human Resources","human-resources-3"
"1149","28638","Information Technology","information-technology-3"
"1150","28638","Library","library-28"
"1151","28638","Parks and Recreation","parks-and-recreation-12"
"1152","28638","Planning and Community Development","planning-and-community-development-1"
"1153","28638","Police","police-79"
"1154","28638","Public Works","public-works-11"
"1155","28638","Water","water"
"1156","28572","Multi-Departmental","multi-departmental-2"
"1157","28528","Finance","finance-72"
"1158","28528","Community & Economic Development","community-economic-development"
"1159","28528","City Manager","city-manager-76"
"1160","28528","Public Works","public-works-103"
"1161","28528","Police","police-80"
"1162","28528","Parks & Recreation","parks-recreation-5"
"1163","28528","City Attorney","city-attorney-2"
"1164","28528","Concord Community Reuse Project","concord-community-reuse-project"
"1165","28528","Human Resources","human-resources-5"
"1166","28528","Information Technology","information-technology-33"
"1167","28516","Administrative Services","administrative-services-30"
"1168","28516","Development Services","development-services-2"
"1169","28516","Police Services","police-services-3"
"1170","28516","Recreation, Arts & Community Services","recreation-arts-community-services"
"1171","28516","General Government","general-government-4"
"1172","28516","Maintenance Services","maintenance-services-2"
"1173","28532","Finance","finance-73"
"1174","28532","Public Works","public-works-104"
"1175","28532","City Management","city-management"
"1176","28532","Recreation","recreation-15"
"1177","28532","Fire","fire-8"
"1178","28532","Community Development","community-development-67"
"1179","28532","Police","police-81"
"1180","28538","Administration","administration-15"
"1181","28538","Police","police-82"
"1182","28538","Public Works","public-works-105"
"1183","28538","Parks & Recreation","parks-recreation-6"
"1184","28538","Community Development","community-development-68"
"1185","28540","Administrative Services","administrative-services-31"
"1186","28540","Engineering","engineering-8"
"1187","28540","Planning & Building","planning-building-9"
"1188","28540","Parks, Trails & Recreation","parks-trails-recreation"
"1189","28540","Public Works","public-works-106"
"1190","28540","Police Services","police-services-4"
"1191","28542","Administrative Services","administrative-services-32"
"1192","28542","Public Works","public-works-107"
"1193","28542","Community Development","community-development-69"
"1194","28542","Police","police-83"
"1195","28542","Water System","water-system"
"1196","28542","General Government","general-government-5"
"1197","28550","Finance","finance-74"
"1198","28550","Public Works","public-works-108"
"1199","28550","Administration","administration-16"
"1200","28550","Enterprise Services","enterprise-services"
"1201","28550","Pittsburg Power Company","pittsburg-power-company"
"1202","28550","Recreation","recreation-16"
"1203","28550","Community Development","community-development-70"
"1204","28550","Police","police-84"
"1205","28550","Human Resources","human-resources-51"
"1206","28550","Information Technology","information-technology-34"
"1207","28519","Community Development","community-development-71"
"1208","28519","Economic Development","economic-development-14"
"1209","28519","Finance","finance-75"
"1210","28519","Human Resources","human-resources-52"
"1211","28519","Information Systems","information-systems"
"1212","28519","Legislative & Administrative","legislative-administrative"
"1213","28519","Parks & Recreation","parks-recreation-7"
"1214","28519","Police","police-85"
"1215","28519","Public Works","public-works-109"
"1216","28523","City Attorney","city-attorney-4"
"1217","28523","City Manager","city-manager-77"
"1218","28523","Community Development","community-development-72"
"1219","28523","Finance & Information Systems","finance-information-systems"
"1220","28523","Human Resources","human-resources-53"
"1221","28523","Parks & Recreation","parks-recreation-8"
"1222","28523","Police","police-86"
"1223","28523","Public Works","public-works-110"
"1224","28527","Administration","administration-17"
"1225","28527","Community Development","community-development-73"
"1226","28527","Finance","finance-76"
"1227","28527","Police","police-87"
"1228","28527","Public Works","public-works-111"
"1229","28543","General Government","general-government-6"
"1230","28543","Parks & Recreation","parks-recreation-9"
"1231","28543","Planning","planning-8"
"1232","28543","Police","police-88"
"1233","28543","Public Works & Engineering","public-works-engineering-1"
"1234","28546","Building ","building-1"
"1235","28546","Building Maintenance","building-maintenance"
"1236","28546","City Attorney","city-attorney-39"
"1237","28546","City Clerk","city-clerk-7"
"1238","28546","City Manager","city-manager-78"
"1239","28546","Code Enforcement","code-enforcement-3"
"1240","28546","Community Outreach","community-outreach"
"1241","28546","Economic Development","economic-development-15"
"1242","28546","Finance","finance-77"
"1243","28546","Human Resources","human-resources-54"
"1244","28546","Information Technology","information-technology-35"
"1245","28546","Planning","planning-9"
"1246","28546","Police","police-89"
"1247","28546","Public Works and Engineering","public-works-and-engineering"
"1248","28546","Recreation","recreation-17"
"1249","28548","Administrative Services","administrative-services-33"
"1250","28548","City Clerk","city-clerk-63"
"1251","28548","City Manager","city-manager-79"
"1252","28548","Parks & Recreation","parks-recreation-10"
"1253","28548","Planning","planning-10"
"1254","28548","Police","police-90"
"1255","28548","Public Works & Engineering Services","public-works-engineering-services"
"1256","28549","Cable Access TV","cable-access-tv"
"1257","28549","City Clerk","city-clerk-64"
"1258","28549","City Manager","city-manager-80"
"1259","28549","Community Development","community-development-74"
"1260","28549","Finance","finance-78"
"1261","28549","Fire","fire-59"
"1262","28549","General Government","general-government-7"
"1263","28549","Human Resources","human-resources-55"
"1264","28549","Police","police-91"
"1265","28549","Public Works","public-works-112"
"1266","28549","Recreation","recreation-18"
"1267","28529","Administrative Services","administrative-services-34"
"1268","28529","City Manager","city-manager-81"
"1269","28529","Community Development & Public Works","community-development-public-works"
"1270","28529","Finance","finance-79"
"1271","28529","Human Resources","human-resources-56"
"1272","28529","Police","police-92"
"1273","28574","Capital Improvement","capital-improvement"
"1274","28574","City Attorney","city-attorney-40"
"1275","28574","City Clerk","city-clerk-65"
"1276","28574","City Council","city-council"
"1277","28574","City Manager","city-manager-82"
"1278","28574","Community Services","community-services-5"
"1279","28574","Employment & Training","employment-training"
"1280","28574","Finance","finance-80"
"1281","28574","Fire","fire-60"
"1282","28574","Housing","housing-4"
"1283","28574","Human Resources","human-resources-57"
"1284","28574","Information Technology","information-technology-36"
"1285","28574","Infrastructure Maintenance & Operations","infrastructure-maintenance-operations"
"1286","28574","Library & Cultural Services","library-cultural-services"
"1287","28574","Mayor's Office","mayors-office"
"1288","28574","Office of Neighborhood Safety","office-of-neighborhood-safety"
"1289","28574","Planning & Building Services","planning-building-services"
"1290","28574","Police","police-93"
"1291","28574","Port","port"
"1292","28574","Rent Control","rent-control"
"1293","28574","Richmond Housing Authority","richmond-housing-authority"
"1294","28574","Transportation","transportation-3"
"1295","28574","Water Resource Recovery","water-resource-recovery"
"1296","28576","City Attorney","city-attorney-41"
"1297","28576","City Clerk","city-clerk-66"
"1298","28576","City Manager","city-manager-83"
"1299","28576","Community Services","community-services-6"
"1300","28576","Development Services","development-services-16"
"1301","28576","Financial Services","financial-services"
"1302","28576","Information Technology","information-technology-37"
"1303","28576","Police","police-94"
"1304","28576","Public Works","public-works-113"
"1305","28562","Administrative Services - Finance","administrative-services-finance"
"1306","28562","Administrative Services - Human Resources","administrative-services-human-resources"
"1307","28562","Administrative Services - Information Technology","administrative-services-information-technology"
"1308","28562","City Attorney","city-attorney-42"
"1309","28562","City Clerk","city-clerk-67"
"1310","28562","City Manager","city-manager-84"
"1311","28562","Community Development - Building","community-development-building"
"1312","28562","Community Development - Planning","community-development-planning"
"1313","28562","Parks & Community Services","parks-community-services-1"
"1314","28562","Police","police-95"
"1315","28562","Public Works - Engineering","public-works-engineering-2"
"1316","28562","Public Works - Public Services","public-works-public-services"
"1317","28562","Public Works - Transportation","public-works-transportation"
"1318","28567","Administrative Services","administrative-services-35"
"1319","28567","Arts, Recreation and Community Services","arts-recreation-and-community-services"
"1320","28567","Community and Economic Development","community-and-economic-development-1"
"1321","28567","General Government","general-government-8"
"1322","28567","Human Resources","human-resources-58"
"1323","28567","Police","police-96"
"1324","28567","Public Works","public-works-114"
"1325","28864","Administrative Services","administrative-services-36"
"1326","28864","City Manager","city-manager-85"
"1327","28864","Community Development and Sustainability","community-development-and-sustainability"
"1328","28864","Fire","fire-61"
"1329","28864","Parks and Community Services","parks-and-community-services-2"
"1330","28864","Police","police-97"
"1331","28864","Public Works-Engineering and Transportation ","public-works-engineering-and-transportation"
"1332","28864","Public Works-Operations and Utilities","public-works-operations-and-utilities"
"1333","28855","Administrative Services","administrative-services-37"
"1334","28855","Capital Projects and Transportation","capital-projects-and-transportation"
"1335","28855","City Manager's Office","city-managers-office-5"
"1336","28855","Community Development","community-development-75"
"1337","28855","Economic Development","economic-development-16"
"1338","28855","Fire","fire-62"
"1339","28855","Parks and Recreation","parks-and-recreation-13"
"1340","28855","Police","police-98"
"1341","28855","Public Works","public-works-115"
"1342","28931","Community Development","community-development-76"
"1343","28931","Finance","finance-81"
"1344","28931","Fire","fire-63"
"1345","28931","General Government","general-government-9"
"1346","28931","Police","police-99"
"1347","28931","Public Works","public-works-116"
"1348","28931","Recreation","recreation-19"
"1349","28932","Administrative Services","administrative-services-38"
"1350","28932","Community Development","community-development-77"
"1351","28932","Community Services","community-services-39"
"1352","28932","Public Works","public-works-117"
"1353","28932","Fire","fire-64"
"1354","28932","Library","library-29"
"1355","28932","Police","police-100"
"1356","28874","City Attorney","city-attorney-43"
"1357","28874","City Clerk","city-clerk-68"
"1358","28874","City Manager","city-manager-86"
"1359","28874","Community Development","community-development-78"
"1360","28874","Environmental & Water Resources","environmental-water-resources"
"1361","28874","Fire","fire-65"
"1362","28874","Human Resources","human-resources-59"
"1363","28874","Library","library-30"
"1364","28874","Management & Budget","management-budget"
"1365","28874","Parks & Recreation","parks-recreation-11"
"1366","28874","Police","police-101"
"1367","28874","Public Works","public-works-118"
"1368","28874","Solid Waste","solid-waste"
"1369","28859","Administrative Services","administrative-services-39"
"1370","28859","City Manager","city-manager-87"
"1371","28859","Community Development","community-development-79"
"1372","28859","General Services","general-services-1"
"1373","28859","Police","police-102"
"1374","28876","Administration","administration-18"
"1375","28876","Community Development","community-development-80"
"1376","28876","Finance","finance-82"
"1377","28876","Human Resources","human-resources-60"
"1378","28876","Parks & Recreation","parks-recreation-12"
"1379","28876","Police","police-103"
"1380","28876","Public Works","public-works-119"
"1381","28885","Administration","administration-19"
"1382","28885","Building","building-2"
"1383","28885","Finance","finance-83"
"1384","28885","Fire","fire-66"
"1385","28885","Parks & Recreation","parks-recreation-13"
"1386","28885","Planning","planning-11"
"1387","28885","Public Works","public-works-120"
"1388","28910","Administrative Support","administrative-support"
"1389","28910","City Attorney","city-attorney-44"
"1390","28910","City Clerk","city-clerk-69"
"1391","28910","City Manager","city-manager-88"
"1392","28910","Communication, Legislative Affairs, & Community Engagement","communication-legislative-affairs-community-engagement"
"1393","28910","Community Development","community-development-81"
"1394","28910","Facilities Management","facilities-management"
"1395","28910","Finance","finance-84"
"1396","28910","Human Resources","human-resources-61"
"1397","28910","Information Technology","information-technology-38"
"1398","28910","Neighborhood Services","neighborhood-services"
"1399","28910","Public Works","public-works-121"
"1400","28868","City Attorney","city-attorney-45"
"1401","28868","City Clerk","city-clerk-70"
"1402","28868","City Council","city-council-10"
"1403","28868","City Manager","city-manager-89"
"1404","28868","Development Services","development-services-17"
"1405","28868","Finance","finance-85"
"1406","28868","Human Resources","human-resources-62"
"1407","28868","Police","police-104"
"1408","28868","Public Works","public-works-122"
"1409","28509","City Attorney","city-attorney-46"
"1410","28509","City Auditor","city-auditor-6"
"1411","28509","City Clerk","city-clerk-71"
"1412","28509","City Manager","city-manager-90"
"1413","28509","City Treasurer","city-treasurer"
"1414","28509","Citywide and Community Support","citywide-and-community-support"
"1415","28509","Community Development","community-development-82"
"1416","28509","Convention and Cultural Services","convention-and-cultural-services"
"1417","28509","Finance","finance-86"
"1418","28509","Fire","fire-67"
"1419","28509","Human Resources","human-resources-63"
"1420","28509","Information Technology","information-technology-39"
"1421","28509","Mayor/Council","mayor-council-1"
"1422","28509","Police","police-105"
"1423","28509","Public Works","public-works-123"
"1424","28509","Utilities","utilities-5"
"1425","28509","Youth, Parks, and Community Enrichment","youth-parks-and-community-enrichment"
"1426","28926","Administrative Services","administrative-services-40"
"1427","28926","City Attorney's Office","city-attorneys-office-1"
"1428","28926","City Manager's Office","city-managers-office-6"
"1429","28926","Community Development","community-development-83"
"1430","28926","Community Services","community-services-40"
"1431","28926","Finance","finance-87"
"1432","28926","Fire","fire-68"
"1433","28926","Housing Services","housing-services"
"1434","28926","Human Resources","human-resources-64"
"1435","28926","Information Technology ","information-technology-40"
"1436","28926","Police","police-106"
"1437","28926","Public Works","public-works-124"
"1438","28926","Utilities","utilities-6"
"1439","28566","City Attorney","city-attorney-47"
"1440","28566","City Clerk","city-clerk-72"
"1441","28566","City Manager","city-manager-91"
"1442","28566","Economic Development","economic-development-17"
"1443","28566","Finance","finance-88"
"1444","28566","Fire","fire-69"
"1445","28566","Human Resources","human-resources-65"
"1446","28566","Information Technology ","information-technology-41"
